conversation_id,message_index,domain,text
conv_0001,1,devops_tasks,I need a lightweight team tasks app for an engineering/ops team. can you help me put something together?
conv_0001,2,devops_tasks,"so, my mom asked me to add this: feature request: a Kanban view (To Do / In Progress / Blocked / Done)"
conv_0001,3,devops_tasks,this keeps happening: saving tags seems random (I can’t ship like this)
conv_0001,4,devops_tasks,is it hard to add CSV export for the current filters?
conv_0001,5,devops_tasks,"ok, feature request: task fields: title/owner/status/priority/due date/tags"
conv_0001,6,devops_tasks,"one more thing, Goal: a lightweight team tasks app for an engineering/ops team. I want it fast and simple."
conv_0001,7,devops_tasks,"feature request: SLA badges (red <24h, orange <3 days) 😂"
conv_0001,8,devops_tasks,need this: - Slack notifications for mentions - a Kanban view (To Do / In Progress / Blocked / Done) - task fields: title/owner/status/priority/due date/tags - a 'My Tasks' page - comments on tasks + @mentions
conv_0001,9,devops_tasks,"can we make the empty states nicer? they look sad 😅, looks like the session state isn't ready before route guard"
conv_0001,10,devops_tasks,Wait I forgot: a Kanban view (To Do / In Progress / Blocked / Done).
conv_0001,11,devops_tasks,Sorry I keep changing things 😬.
conv_0001,12,devops_tasks,"we already use Microsoft 365, can the app plug into that?"
conv_0002,1,real_estate,"hey, can we build a property/tenants maintenance request app? 😂"
conv_0002,2,real_estate,I’m a freelancer. we need audit logs: who changed what + when.
conv_0002,3,real_estate,need this: - status tracking + vendor assignment - tenant portal + landlord admin - email/SMS updates - property list + units - integrate OAuth (Google)
conv_0002,4,real_estate,"ok, I need this to be GDPR-ish (at least delete account + export data). 🙏"
conv_0002,5,real_estate,I’m in my 30s. spacing on mobile is off. header + list overlap.
conv_0002,6,real_estate,Can we prototype a property/tenants maintenance request app today?
conv_0002,7,real_estate,"lol ok that’s actually pretty nice., can we add proper RLS + policies?"
conv_0002,8,real_estate,ugh. I’m stuck. help.
conv_0002,9,real_estate,"btw, quick requirements: - payment tracking (not processing) - status tracking + vendor assignment"
conv_0003,1,community_forum,we need audit logs: who changed what + when.
conv_0003,2,community_forum,"I’m in my 30s. dark mode toggle please 🙏, getting 401s after refresh"
conv_0003,3,community_forum,I’M GETTING A REDIRECT LOOP AFTER LOGIN. IT KICKS ME BACK TO /LOGIN RANDOMLY.
conv_0003,4,community_forum,"uh, my kid asked me to add this: can we add tags/categories?"
conv_0003,5,community_forum,I think we also need moderation tools.
conv_0003,6,community_forum,I’m in my 30s. something is broken: saving tags seems random
conv_0003,7,community_forum,wishlist: - moderation tools - user profiles - tags/categories - report button
conv_0003,8,community_forum,I want analytics: basic usage stats + funnels.
conv_0003,9,community_forum,I think we also need user profiles
conv_0004,1,education_lms,I want analytics: basic usage stats + funnels.
conv_0004,2,education_lms,"one more thing, mobile matters a lot, most users are on old Chromebook. 🤦"
conv_0004,3,education_lms,"can we add 2FA later? not now, just plan for it. 😂"
conv_0004,4,education_lms,"I need export to CSV for the filtered view., timezone + UTC handling seems off"
conv_0004,5,education_lms,"the UI feels kinda crowded, can we simplify it?"
conv_0004,6,education_lms,can we add course modules + lessons?
conv_0004,7,education_lms,lol ok that’s actually pretty nice.
conv_0004,8,education_lms,"I want analytics: basic usage stats + funnels., getting 401s after refresh"
conv_0004,9,education_lms,"spacing on mobile is off. header + list overlap., also please keep redirects/CORS sane for OAuth"
conv_0004,10,education_lms,"hey, can we build a course portal + assignments + grading app?, looks like the session state isn't ready before route guard"
conv_0004,11,education_lms,my wife asked me to add this: can you write me a short deploy checklist?
conv_0005,1,manufacturing_qc,"Trying to make a quality checks + incident reporting app. nothing fancy, just usable."
conv_0005,2,manufacturing_qc,something is broken: I get a 401 even though I’m logged in
conv_0005,3,manufacturing_qc,I’m a college student. is it hard to add permissions by line/team?
conv_0005,4,manufacturing_qc,I’m a student. need this: - permissions by line/team - trend dashboards - batch/lot tracking - photo attachments
